No.,Kode,I01_D1.1_A1,I02_D1.1_A1,I03_D1.1_A1,I04_D1.1_A1,I05_D1.1_A1,I06_D1.1_A1,I07_D1.1_A1,I08_D1.1_A1,I09_D1.1_A1,I10_D1.1_A1,I11_D2.1_A2,I12_D2.1_A2,I13_D2.1_A2,I14_D2.1_A2,I15_D2.2_A3,I16_D2.2_A3,I17_D2.2_A3,I18_D2.2_A3,I19_D2.3_A4,I20_D2.3_A4,I21_D3.1_A5,I22_D3.1_A5,I23_D3.1_A5,I24_D3.1_A5,I25_D3.1_A5,I26_D3.1_A5,I27_D3.1_A5,I28_D3.1_A5,I29_D3.2_A6,I30_D3.2_A6,I31_D3.2_A6,I32_D4.1_A7,I33_D4.1_A7,I34_D4.1_A7,I35_D4.1_A7,I36_D4.1_A7,I37_D4.1_A7,I38_D4.1_A7,I39_D4.1_A7,I40_D4.1_A7,I41_D4.1_A7,I42_D4.2_A8,I43_D4.2_A8,I44_D4.2_A8,I45_D4.2_A8,I46_D4.2_A8,I47_D4.2_A8,Domain 1,Domain 2,Domain 3,Domain 4,Indeks
446,7201,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,2,1,3,1,3,1,5,2,2,2,1,1,3,2.1,1,2.31,2.13
447,7202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,4,1,1,1,1,1,2,5,5,5,1,1,1,2.4,1.64
448,7203,3,3,4,3,3,3,3,2,3,3,1,1,1,1,1,2,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,1,4,1,2,3,4,1,2,5,1,1,3,1.5,1,2.74,2.18
449,7204,4,4,4,4,4,4,4,4,4,4,3,3,3,3,1,3,3,2,4,2,2,3,3,2,3,3,2,3,2,2,1,4,4,4,4,4,4,4,2,4,3,4,2,4,5,3,3,4,2.7,2.36,3.62,3.23
450,7205,4,4,4,4,4,4,4,4,4,3,1,1,1,1,3,4,4,3,4,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,3,3,3,3,5,3,3,5,2,5,3.9,2.5,1,3.63,2.95
451,7206,3,3,3,3,3,3,3,2,3,3,3,3,2,2,1,3,3,2,3,3,1,2,1,1,2,1,1,1,1,1,1,4,4,4,4,2,4,4,3,4,2,4,3,4,5,3,5,2.9,2.5,1.18,3.7,2.88
452,7207,3,3,4,3,3,3,3,3,3,3,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,5,3,1,1,3,5,2,4,5,1,1,3.1,1.2,1,3.18,2.32
453,7208,3,3,4,3,4,3,3,3,3,3,2,2,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,3,3,3,4,1,4,4,5,4,3.2,1.8,1,3.63,2.68
454,7209,3,3,2,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,4,3,4,3,2,4,2,4,2,2,2,1,5,2.7,1,1,2.99,2.13
455,7210,1,1,3,1,1,2,1,2,1,2,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,1,3,2,3,4,4,2,2,5,2,3,1.5,1.5,1,3.12,2.16
456,7211,2,3,3,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,4,1,1,2,4,1,1,1,1.8,1,1,1.81,1.47
457,7212,2,2,2,1,3,2,2,1,1,1,1,1,1,1,1,2,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,3,1,3,2,4,1,4,2,1,1,1.7,1.7,1,2.79,2.08
458,7271,3,3,3,3,3,3,3,3,3,3,1,2,2,1,1,1,3,1,2,3,1,1,1,1,2,1,1,1,1,1,2,4,4,4,4,4,4,3,1,3,4,4,2,3,3,4,3,3,1.7,1.18,3.37,2.54
459,7300,3,2,2,2,3,3,3,2,2,4,3,3,3,4,1,3,3,2,2,4,2,2,2,2,2,2,1,2,1,1,4,4,4,3,4,4,4,4,4,4,4,5,4,2,3,3,5,2.6,2.8,1.91,3.81,3.09
460,7301,5,3,4,1,5,4,5,2,3,5,5,3,3,3,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,2,4,2,3,4,3,2,1,3,4,3.7,2.8,1,3.18,2.79
461,7302,3,3,3,3,3,3,3,3,3,3,1,3,2,1,2,3,3,2,2,1,1,2,2,2,2,2,1,1,3,3,3,4,4,4,4,4,3,2,3,3,3,4,3,4,4,1,2,3,2,2,3.24,2.7
462,7303,3,3,3,2,3,3,3,3,3,3,3,3,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,2,3,4,4,4,3,4,4,4,3,2.9,1.8,1,3.69,2.67
463,7305,5,4,3,3,3,3,3,2,3,3,3,3,1,2,1,3,3,1,2,2,3,2,2,3,2,1,1,1,1,2,1,4,4,4,4,5,4,3,2,2,4,4,1,4,4,4,4,3.2,2.1,1.73,3.56,2.85
464,7306,3,3,2,2,1,3,3,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,4,2,2,3,2,4,1,2,1,1,3,2.3,1.1,1,2.12,1.7
465,7307,3,2,4,2,1,3,3,3,3,3,1,2,2,2,1,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,3,4,3,3,4,3,2,3,4,3,2.7,1.9,1,3.43,2.55
466,7309,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,2,3,3,4,4,2,4,4,4,3,2.1,2.1,1,3.56,2.58
467,7310,3,1,3,2,3,3,2,3,3,3,2,2,2,3,1,2,3,3,2,3,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,3,4,3,4,4,4,3,3,4,3,3,3,2.6,2.3,1,3.49,2.67
468,7311,3,2,4,2,3,3,3,2,3,3,2,2,4,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,4,3,4,4,4,4,2,2,4,2,3,2,2,2,3,1,2.8,1.9,1,2.85,2.3
469,7312,4,3,3,5,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3,2,2,2,1,2,2,2,2,2,1,1,2,4,4,4,4,4,4,4,4,3,3,4,2,4,2,5,4,3.3,2.6,1.73,3.68,3.04
470,7313,4,4,4,4,4,4,4,4,4,4,1,2,1,2,2,2,3,3,1,2,1,2,1,1,1,1,2,2,2,1,2,4,4,4,4,4,4,3,4,4,4,4,4,3,5,5,5,4,1.9,1.45,4.07,3.09
471,7314,3,3,4,3,2,3,2,2,3,3,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,4,1,1,3,4,3,1,2,2,3,2,2,2.8,1.4,1,2.3,1.93
472,7315,3,2,1,1,2,1,1,2,1,3,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,3,4,3,4,1,3,3,4,3,1.7,1.3,1,3.42,2.27
473,7316,1,1,3,1,1,1,1,1,1,3,1,1,2,1,1,2,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,3,3,4,4,3,4,3,4,3,1.4,1.6,1,3.62,2.39
474,7317,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,2,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,3,4,4,3,4,3,2,5,5,3,5,1.5,1,3.69,2.87
475,7318,3,3,3,1,3,3,3,3,3,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,2,3,3,3,3,4,3,4,4,4,1,2.8,1.1,1,3.31,2.31
476,7319,3,3,3,3,3,3,3,3,3,3,2,1,2,2,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,3,3,3,4,4,4,2,5,1,3,3,2.2,1,3.43,2.67
477,7321,3,4,3,4,3,4,4,4,4,3,4,3,2,1,1,2,2,2,2,3,2,2,2,1,2,1,1,1,1,1,1,4,4,3,4,3,4,3,3,3,3,4,1,2,3,4,2,3.6,2.2,1.36,3.11,2.66
478,7322,4,3,4,3,3,3,3,3,3,3,3,3,3,2,1,2,3,2,3,3,3,3,2,3,2,2,2,2,2,2,2,4,4,4,4,4,4,3,4,4,4,4,2,2,5,5,5,3.2,2.5,2.27,3.87,3.18
479,7325,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,5,3,1,1,3,3,2,1,1,1,1,1,2,1,1,1,4,4,4,4,5,4,3,3,3,1,4,3,4,5,5,5,3.1,2.7,1.36,3.83,3.05
480,7326,2,2,3,3,3,1,1,3,3,3,3,2,1,1,1,2,2,1,1,1,2,2,3,2,2,2,2,2,1,1,1,4,4,3,3,3,1,2,1,3,3,4,3,2,4,4,2,2.4,1.5,1.82,2.88,2.3
481,7371,4,3,4,3,3,4,3,3,3,3,1,2,1,2,3,3,4,3,3,3,3,2,4,3,2,4,1,2,2,2,1,4,4,5,4,5,4,4,4,4,4,4,4,4,5,5,5,3.3,2.5,2.36,4.32,3.41
482,7372,3,3,3,3,3,3,3,2,3,3,1,1,1,2,1,3,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,5,4,3,4,3,3,4,4,2,4,3,5,2.9,1.5,1,3.75,2.62
483,7373,4,4,3,4,3,3,3,4,3,3,1,1,3,2,4,3,3,3,3,2,2,3,2,2,2,1,1,1,1,1,1,5,5,5,5,5,5,3,4,5,4,4,3,2,5,5,5,3.4,2.5,1.55,4.36,3.31
484,7400,3,3,3,3,3,3,3,3,3,3,3,1,1,3,2,3,3,2,2,3,2,2,2,1,2,2,1,1,2,1,1,4,1,4,4,3,3,3,2,2,3,3,4,3,4,2,3,3,2.3,1.55,3.01,2.59
485,7401,3,3,4,3,2,3,3,2,3,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,3,4,1,1,1,1,1,2.8,1.2,1,2.23,1.84
486,7402,1,1,3,2,2,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,3,3,2,1,4,3,3,3,4,3,1.6,1.2,1.18,2.89,2.02
487,7403,3,3,3,3,3,3,3,3,3,3,1,1,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,1,1,3,1,4,1,1,3,4,4,3,1.4,1,2.93,2.24
488,7404,4,4,4,4,5,4,5,4,4,4,5,5,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,3,3,3,4,4,4,4,3,4,3,3,3,3,4,3,4,4,4,4,4.2,3.2,2.91,3.63,3.48
489,7405,5,2,3,4,3,3,3,3,5,3,1,3,1,1,1,2,3,1,2,1,1,2,1,2,2,1,1,1,1,1,1,4,4,4,4,5,4,2,4,2,5,4,3,2,4,5,1,3.4,1.6,1.27,3.55,2.67
490,7406,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,4,4,4,1,4,2,2,4,1,1,1.1,1.5,1,2.98,2.04
491,7407,2,2,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,3,1,3,2,1,2,4,5,2,3,2.5,1,1,3.05,2.13
492,7408,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,4,3,4,3,1,1,1,2,1,1,1,1,2,1.2,1.1,1,1.98,1.5
493,7410,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,1,3,3,1,4,1,4,3,4,4,1,1.2,1,3.19,2.05
494,7411,2,2,3,1,3,3,3,2,1,1,2,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,4,1,4,4,4,1,1,3,1,4,1,4,1,4,1,2.1,1.7,1.27,2.62,2.1
495,7412,2,2,3,2,2,3,3,2,3,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,3,1,3,1,4,4,2,4,5,4,2.5,1.2,1,3.39,2.33
496,7413,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,2,3,1,4,1,2,4,3,3,1,1,1,3.12,1.96
497,7414,1,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,3,3,1,1,1,1.5,1,1,1.57,1.32
498,7415,4,4,3,4,4,2,4,4,4,4,3,3,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,4,4,4,4,4,4,3,1,4,4,2,3,1,4,4,4,3.7,1.6,1.18,3.36,2.61
499,7416,2,2,3,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,1,3,1,3,1,4,1,2,3,1,1,2,1,1,2.48,1.81
500,7471,3,2,3,2,3,3,3,2,3,3,1,1,1,2,1,2,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,2,3,3,3,3,4,2,3,4,4,3,2.7,1.6,1,3.31,2.42
501,7472,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,3,4,4,1,2,3,1,3,3,3,4,2,1.2,1.2,1,2.93,1.95
502,7500,5,5,5,5,5,5,5,3,5,3,4,3,4,4,4,4,3,3,3,5,2,3,3,3,2,2,2,5,2,2,5,4,4,4,4,5,5,5,5,4,4,5,4,5,5,5,5,4.6,3.7,2.82,4.57,4.07
503,7501,2,2,3,3,3,3,3,5,4,5,1,1,5,4,4,5,4,4,5,4,1,4,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,3,3,5,5,4,4,4,5,5,3.3,3.7,1.27,4.14,3.45
504,7502,3,3,2,3,1,3,3,3,5,5,2,2,2,3,2,5,3,3,3,3,1,3,2,2,3,1,1,2,1,1,1,4,4,4,4,4,4,3,3,4,4,4,3,4,5,3,5,3.1,2.8,1.64,3.88,3.14
505,7503,4,3,3,3,2,3,3,3,1,4,3,2,3,2,3,3,3,3,3,4,1,1,1,1,2,1,1,1,1,1,1,4,4,3,4,5,4,3,3,4,3,4,4,4,4,4,4,2.9,2.9,1.09,3.82,3.02
506,7504,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,5,1,1,2,3,3,3,3,2,3,3,3,1,4,4,3,4,4,4,3,3,3,3,4,3,4,3,3,4,3,3,2.45,3.5,3.14
507,7505,1,1,3,1,3,3,3,1,1,3,2,2,2,2,3,2,4,1,3,3,2,2,4,1,2,1,1,1,1,1,1,1,2,2,2,2,1,3,2,3,2,4,4,4,3,2,4,2,2.4,1.55,2.59,2.3
508,7506,3,2,1,2,3,3,1,2,3,3,1,1,3,3,3,3,3,1,3,3,2,3,2,1,2,1,1,1,2,2,1,2,2,2,4,4,2,3,3,3,2,2,2,4,3,4,4,2.3,2.4,1.64,2.88,2.48
509,7507,4,2,2,4,4,4,5,4,4,3,2,2,3,2,3,3,3,4,5,5,2,4,2,2,2,2,2,2,2,2,3,4,4,5,4,5,4,4,5,5,5,4,5,4,5,4,4,3.6,3.2,2.27,4.43,3.66
510,7508,4,5,5,5,5,5,5,5,5,4,5,5,5,3,1,5,5,3,3,3,3,4,2,3,3,2,2,2,2,2,2,4,4,4,5,4,5,3,3,4,4,4,4,4,5,4,2,4.8,3.8,2.45,3.93,3.77
511,7571,5,4,4,5,4,3,2,3,3,3,3,4,1,4,4,5,4,3,3,4,4,3,4,4,4,2,3,4,3,4,3,4,4,3,4,5,4,3,3,4,4,4,4,5,5,5,5,3.6,3.5,3.45,4.14,3.8
512,7600,2,4,3,2,3,3,3,3,4,4,2,4,2,3,3,3,2,2,4,4,2,3,2,2,3,3,2,3,2,1,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,3.1,2.9,2.36,4.13,3.4
513,7601,3,3,3,3,3,3,3,3,3,3,2,1,1,2,1,3,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,1,3,3,4,2,4,5,5,5,3,2.1,1,3.7,2.77
514,7602,3,3,3,1,3,3,3,2,3,3,2,2,1,1,1,2,2,1,3,3,3,2,1,1,1,1,1,1,1,1,1,4,4,5,5,3,4,3,3,3,3,3,3,4,5,4,3,2.7,1.8,1.27,3.69,2.69
515,7603,3,3,4,3,3,3,3,3,3,4,1,1,1,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,3,3,3,4,4,2,2,3,3,3,3.2,1.5,1,3.3,2.46
516,7604,3,3,1,2,3,3,2,2,3,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,2,2,1,2,1,2,1,4,2,2,3,2,2,2.4,1.3,1,2.38,1.88
517,7605,3,3,4,4,4,4,3,3,3,3,2,2,2,1,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,3,1,3,4,4,4,3,4,3,4,3.4,2.4,1,3.38,2.75
518,7606,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,4,1,1,2,2,4,2,4,2,1,3,3,1,1,2.51,1.95
519,7607,3,3,5,3,3,3,3,1,3,3,4,3,2,3,1,2,3,2,2,2,2,2,3,3,4,2,2,2,2,1,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3,3,2.4,2.45,3.81,3.13
520,7608,3,3,3,3,3,3,2,3,3,3,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,4,2,2,3,4,3,2,4,4,3,2.9,1.3,1,3.37,2.4
521,7671,3,3,4,3,3,3,3,2,3,4,3,2,4,3,2,4,4,3,4,3,3,4,2,4,3,3,3,3,4,2,2,4,4,4,4,4,4,3,3,3,3,5,4,4,3,5,5,3.1,3.2,3,3.89,3.47
522,7672,2,3,3,2,3,3,3,2,2,2,2,1,3,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,3,3,3,3,3,3,2,2,4,3,3,2.5,1.9,1,3.18,2.41
523,7700,5,5,5,5,5,5,5,4,5,5,3,3,3,3,3,4,5,3,3,4,3,3,3,3,3,3,2,3,3,3,2,4,4,4,5,5,4,2,3,4,5,4,4,4,4,5,5,4.9,3.4,2.82,4.13,3.83
524,7701,2,1,1,1,1,1,1,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,3,1,4,2,2,4,3,1,1.3,1.4,1,2.69,1.91
525,7702,5,5,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,3,1,1,4,4,2,4,3,3,1,3.4,1.4,1,2.93,2.29
526,7703,3,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,2,1,3,1,4,3,3,4,3,3,1.5,1.1,1,3.19,2.09
527,7704,3,3,4,3,1,2,2,3,3,3,1,1,2,2,1,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,3,3,3,4,2,4,4,4,5,2.7,1.7,1,3.69,2.62
528,7705,2,2,2,1,1,2,2,1,3,3,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,3,2,3,2,2,2,3,2,4,5,1.9,1.3,1,3.18,2.18
529,7706,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,3,1,1,4,4,1,3,4,1,5,1,1.1,1,3,1.94
530,7707,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,2,3,3,4,2,3,3,3,2,1.2,1,1,3.3,2.07
531,7708,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,1,3,1,3,1,3,1,4,3,3,1,1.4,1,2.92,1.98
532,7709,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,2,1,1,1,3,1,1,1,1,4,1,1,1,1.1,1,1.74,1.36
533,7710,3,3,4,3,3,3,3,2,3,3,3,3,1,2,1,2,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,4,4,4,4,4,4,3,2,3,4,4,2,4,2,5,5,3,1.7,1.27,3.63,2.68
534,7711,3,3,4,3,3,3,3,2,3,2,1,1,1,1,1,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,4,1,3,3,3,4,3,3,5,5,3,2.9,1.5,1,3.27,2.4
535,7712,3,3,3,3,2,3,2,1,3,3,1,1,2,1,2,3,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,3,3,3,3,4,3,4,5,5,1,2.6,1.7,1,3.57,2.55
536,7713,3,3,2,1,1,2,2,3,3,3,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,1,2,4,3,4,2,3,1,4,2,2.3,1.2,1,3.05,2.15
537,7714,3,3,3,3,4,3,3,4,4,4,2,2,3,2,3,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,4,4,4,3,3,3,4,3,4,4,3,3,3.4,2.4,2,3.56,2.99
538,7715,5,5,5,5,5,5,5,5,5,5,1,3,3,1,3,3,3,2,5,3,3,3,3,3,2,2,2,2,3,3,3,4,4,3,4,4,4,2,3,3,4,4,4,4,3,4,5,5,2.7,2.64,3.7,3.44
539,7716,4,3,4,3,3,3,3,3,3,3,2,3,2,1,1,3,2,1,2,1,1,1,3,1,1,1,1,1,1,1,1,4,4,4,4,3,4,3,3,3,3,4,3,3,3,3,4,3.2,1.8,1.18,3.43,2.62
540,7717,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,1,2,3,1,1,4,1,3,2,2,2,1,1,1,2.49,1.68
541,7718,3,3,4,1,2,2,2,3,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,3,4,3,2,1,1,2,2,4,1,2,2,1,1,2.6,1.1,1,2.18,1.77
542,7719,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,3,1,1,4,1,1,1,2,1,1,1,1,1,2.27,1.58
543,7720,3,3,4,3,3,3,3,2,3,3,3,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,3,3,3,2,4,1,4,4,2,3,3,1.6,1,3.24,2.43
544,7721,3,3,3,3,3,3,3,2,3,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,3,1,3,3,4,1,4,1,1,1,2.8,1.1,1,2.79,2.07
545,7771,4,2,3,4,4,3,4,4,3,2,1,1,2,1,1,3,3,1,2,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,2,2,1,2,2,1,1,4,1,3,3,3.3,1.8,1,2.55,2.2
546,7800,1,2,3,2,2,2,3,3,3,3,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,4,1,4,4,4,4,1,1,3,4,4,3,3,4,2,2,2.4,1.5,1.09,3,2.23
547,7801,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,3,3,1,3,3,3,3,4,3,2,3,1,3,1.3,1.2,1,2.63,1.83
548,7802,2,1,2,1,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,3,1,3,3,3,4,2,2,4,1,1,1.7,1,1,2.86,1.94
549,7803,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,3,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1.86,1.39
550,7804,2,2,3,3,1,3,3,2,3,3,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,4,4,1,4,3,4,3,1,4,1,2,2,2,2,2,2,2.5,1.4,1.18,2.54,2.03
551,7805,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,2,3,3,3,4,2,2,3,4,3,1.2,1.5,1,3.24,2.17
552,7806,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,1,3,1,3,2,4,2,4,2,1,1,1,1.4,1,2.68,1.86
553,7807,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,4,3,4,3,3,4,4,4,1,2,2,1,2,1,1,1,2.91,1.87
554,7808,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,4,1,1,2,1,1,1,1,1,1,1.97,1.44
555,7809,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,1,1,1,4,4,1,2,4,4,1,1.2,1.2,1,2.93,1.95
556,7871,3,2,3,3,4,4,4,3,3,4,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,3,3,3,3,3,1,4,3,3,1,3,1,3.3,1.4,1,2.86,2.25
557,7872,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,3,3,4,4,3,2,3,4,3,1,1,1,3.49,2.13
558,7900,3,3,4,2,3,3,3,3,3,3,1,2,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,2,3,2,4,2,2,5,3,3,3,1.7,1,3.31,2.49
559,7901,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,1,1,1,3,3,1,1,2,4,2,4,1,1.2,1,2.62,1.79
560,7902,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,4,3,4,2,3,3,1,1,2,2,4,4,2,1,1.1,1,2.8,1.85
