No.,Kode,I01_D1.1_A1,I02_D1.1_A1,I03_D1.1_A1,I04_D1.1_A1,I05_D1.1_A1,I06_D1.1_A1,I07_D1.1_A1,I08_D1.1_A1,I09_D1.1_A1,I10_D1.1_A1,I11_D2.1_A2,I12_D2.1_A2,I13_D2.1_A2,I14_D2.1_A2,I15_D2.2_A3,I16_D2.2_A3,I17_D2.2_A3,I18_D2.2_A3,I19_D2.3_A4,I20_D2.3_A4,I21_D3.1_A5,I22_D3.1_A5,I23_D3.1_A5,I24_D3.1_A5,I25_D3.1_A5,I26_D3.1_A5,I27_D3.1_A5,I28_D3.1_A5,I29_D3.2_A6,I30_D3.2_A6,I31_D3.2_A6,I32_D4.1_A7,I33_D4.1_A7,I34_D4.1_A7,I35_D4.1_A7,I36_D4.1_A7,I37_D4.1_A7,I38_D4.1_A7,I39_D4.1_A7,I40_D4.1_A7,I41_D4.1_A7,I42_D4.2_A8,I43_D4.2_A8,I44_D4.2_A8,I45_D4.2_A8,I46_D4.2_A8,I47_D4.2_A8,Domain 1,Domain 2,Domain 3,Domain 4,Indeks
314,6422,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,4,2,4,3,3,3,2,2,2,2,1,3,1,1,1,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,3,3.1,1.91,3.76,3.19
315,6423,5,5,3,3,3,4,3,4,4,5,3,3,3,3,4,3,4,2,5,2,2,3,3,2,2,2,1,1,3,2,4,4,4,4,4,5,4,5,4,5,5,4,4,5,5,5,4,3.9,3.2,2.27,4.44,3.7
316,6424,5,5,4,5,5,5,5,2,4,5,4,4,3,2,3,3,5,3,3,4,2,3,2,3,2,2,2,3,1,2,2,5,5,5,4,4,4,4,3,3,5,4,4,3,5,4,5,4.5,3.4,2.18,4.19,3.7
317,6425,5,3,5,1,5,5,5,5,5,3,1,1,4,3,4,5,5,3,2,3,3,2,2,2,2,2,1,2,2,2,2,4,4,4,4,5,4,3,4,4,5,4,5,5,5,5,5,4.2,3.1,2,4.39,3.65
318,6426,5,4,5,5,5,5,5,5,5,5,3,3,3,2,4,3,4,4,4,4,3,3,3,2,3,3,2,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.9,3.4,3,5,4.26
319,6427,5,4,5,4,3,5,5,5,5,5,4,3,3,1,3,5,5,5,5,5,4,5,5,4,2,4,2,5,3,3,2,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,4.6,3.9,3.55,4.82,4.35
320,6428,4,4,3,4,5,5,5,5,5,5,3,3,3,1,1,5,5,4,5,3,3,2,2,2,2,2,1,1,2,2,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4.5,3.3,1.91,3.94,3.52
321,6429,5,3,5,4,3,3,3,3,3,2,3,3,3,4,5,5,5,3,2,3,3,2,4,2,2,2,2,3,3,3,3,5,5,4,5,4,5,5,5,5,4,4,5,5,5,5,5,3.4,3.6,2.64,4.75,3.94
322,6471,5,5,5,5,5,5,5,5,5,5,2,3,5,4,5,3,3,3,5,5,5,5,5,3,3,1,1,3,5,5,5,4,4,4,4,4,4,3,3,3,4,4,4,3,5,5,1,5,3.8,3.73,3.69,3.89
323,6472,2,2,2,3,3,3,3,5,2,4,3,3,5,2,5,4,3,2,4,1,1,1,3,3,2,1,1,3,1,1,2,4,4,5,4,4,4,3,2,3,5,4,5,4,4,4,4,2.9,3.2,1.73,3.95,3.26
324,6473,5,4,2,2,4,4,4,2,4,4,4,3,2,3,3,3,4,2,4,4,2,2,1,2,2,1,2,2,1,2,3,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,3.5,3.2,1.82,3.82,3.29
325,6474,3,5,5,5,5,5,4,5,5,4,2,3,3,4,3,5,5,2,4,5,3,3,2,3,3,2,2,2,3,3,3,5,4,4,3,4,4,3,1,4,4,4,5,4,5,5,5,4.6,3.6,2.64,4.02,3.76
326,6475,2,2,4,3,3,3,2,4,2,3,2,3,3,2,3,3,4,3,2,2,3,4,3,2,3,3,3,2,2,4,4,4,3,4,5,5,4,2,3,3,5,3,5,4,5,4,5,2.8,2.7,3,4.01,3.36
327,6476,4,5,4,5,5,5,5,5,5,5,3,4,3,3,2,4,3,3,4,3,2,3,2,2,2,2,2,2,3,3,2,4,4,3,4,4,4,4,4,4,4,5,5,4,5,5,5,4.8,3.2,2.27,4.27,3.74
328,6500,3,1,3,5,5,5,3,1,2,3,4,3,3,1,4,2,4,2,4,4,1,1,1,1,1,1,1,1,2,2,3,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3.1,3.1,1.36,4.88,3.62
329,6501,5,5,5,5,5,5,5,5,5,5,4,3,3,2,3,5,5,5,4,5,4,3,3,3,2,2,2,5,3,3,1,5,5,5,4,5,5,5,3,5,5,5,5,5,5,5,5,5,3.9,2.82,4.82,4.28
330,6502,5,3,3,4,5,5,5,2,5,5,4,3,4,5,4,4,3,3,3,3,2,2,2,3,2,3,1,1,2,2,3,4,4,4,4,4,4,4,4,5,4,3,4,4,5,3,1,4.2,3.6,2.09,3.8,3.52
331,6503,4,4,4,2,3,3,3,2,3,4,2,1,2,2,3,3,3,2,3,3,1,2,2,2,2,1,2,2,1,1,2,4,4,5,5,3,3,3,3,4,5,4,3,4,4,5,5,3.2,2.4,1.64,4.01,3.11
