No.;Kode;I1;I2;I3;I4;I5;I6;I7;I8;I9;I10;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;I32;I33;I34;I35;I36;I37;I38;I39;I40;I41;I42;I43;I44;I45;I46;I47;Aspek 1;Aspek 2;Aspek 3;Aspek 4;Aspek 5;Aspek 6;Aspek 7;Aspek 8
273;6175;2;3;3;4;4;4;4;3;3;3;2;3;3;2;1;3;3;3;2;2;2;2;1;1;2;1;1;1;1;1;1;4;4;4;4;4;3;1;3;4;4;4;4;5;5;5;4;3,3;2,5;2,5;2;1,38;1;3,5;4,5
274;6176;5;5;5;5;5;5;5;5;5;3;2;3;5;3;3;5;4;5;5;3;2;3;4;1;3;1;1;2;2;2;3;3;4;4;4;4;4;4;3;3;4;4;4;4;4;5;4;4,8;3,25;4,25;4;2,13;2,33;3,7;4,17
275;6177;4;4;4;5;4;4;4;4;4;4;4;4;3;3;5;5;5;4;4;3;3;4;5;3;4;2;2;3;2;2;3;5;5;5;4;5;4;4;3;3;4;4;4;5;5;5;5;4,1;3,5;4,75;3,5;3,25;2,33;4,2;4,67
276;6178;5;5;5;3;3;5;4;4;4;4;3;3;2;3;3;3;3;2;2;3;2;2;3;3;2;2;2;2;1;1;3;4;4;4;4;4;4;3;1;4;4;4;4;4;4;4;3;4,2;2,75;2,75;2,5;2,25;1,67;3,6;3,83
277;6179;3;3;3;3;3;3;3;3;3;5;1;1;1;3;4;4;2;3;3;2;1;1;1;1;1;1;1;1;3;3;1;4;4;4;4;5;4;3;3;4;4;4;4;4;5;4;2;3,2;1,5;3,25;2,5;1;2,33;3,9;3,83
278;6200;4;4;4;1;2;2;2;3;3;5;3;3;2;3;3;4;3;2;5;3;3;3;3;2;2;2;1;3;2;2;4;4;4;4;4;4;4;4;3;5;4;4;3;4;3;5;5;3;2,75;3;4;2,38;2,67;4;4
279;6201;4;5;5;5;5;4;4;3;3;4;3;4;3;3;3;3;3;3;3;3;2;4;3;1;2;1;1;1;1;1;2;4;4;4;4;3;4;3;3;3;3;4;4;4;4;3;3;4,2;3,25;3;3;1,88;1,33;3,5;3,67
280;6202;3;3;2;2;3;3;3;3;3;4;3;3;3;3;1;3;2;1;2;2;3;3;2;3;3;2;2;2;1;3;4;4;4;4;4;4;4;4;3;3;4;4;1;4;5;5;5;2,9;3;1,75;2;2,5;2,67;3,8;4
281;6203;5;5;5;5;5;5;5;5;5;5;3;3;3;3;1;3;3;3;3;3;2;1;1;1;2;3;2;2;2;2;2;4;3;3;4;3;3;3;4;3;3;4;3;3;4;4;4;5;3;2,5;3;1,75;2;3,3;3,67
282;6204;3;4;4;3;4;4;4;3;3;4;3;3;2;3;3;3;3;3;4;3;3;2;4;2;2;2;2;2;2;2;2;4;4;4;4;4;3;3;3;3;3;4;4;4;5;5;5;3,6;2,75;3;3,5;2,38;2;3,5;4,5
283;6271;3;3;4;2;3;3;3;2;1;3;3;3;1;4;1;3;3;3;3;3;3;2;2;1;2;2;1;1;3;3;1;4;4;4;4;4;4;2;1;3;3;4;3;4;3;5;5;2,7;2,75;2,5;3;1,75;2,33;3,3;4
