R90,R250,R1000,R2000,R3000,R4000
-14.883,-4.927,-1.171,-0.567,-0.351,-0.268
-14.919,-4.943,-1.167,-0.572,-0.34,-0.229
-14.884,-4.928,-1.169,-0.552,-0.336,-0.248
-14.889,-4.921,-1.178,-0.57,-0.344,-0.231
-14.874,-4.937,-1.157,-0.54,-0.356,-0.245
-14.846,-4.915,-1.171,-0.557,-0.34,-0.22
-14.859,-4.879,-1.174,-0.561,-0.316,-0.254
-14.841,-4.917,-1.161,-0.568,-0.334,-0.244
-14.836,-4.908,-1.156,-0.536,-0.34,-0.24
-14.775,-4.898,-1.156,-0.561,-0.316,-0.229
-14.779,-4.886,-1.164,-0.567,-0.344,-0.258
-14.83,-4.887,-1.166,-0.56,-0.327,-0.226
-14.693,-4.864,-1.154,-0.563,-0.339,-0.247
-14.726,-4.888,-1.149,-0.559,-0.329,-0.219
-14.72,-4.869,-1.14,-0.544,-0.337,-0.255
-14.718,-4.834,-1.135,-0.543,-0.351,-0.252
-14.593,-4.839,-1.135,-0.546,-0.317,-0.239
-14.606,-4.832,-1.135,-0.556,-0.316,-0.236
-14.566,-4.842,-1.142,-0.565,-0.325,-0.24
-14.534,-4.824,-1.128,-0.547,-0.308,-0.221
-14.517,-4.827,-1.137,-0.538,-0.333,-0.23
-14.48,-4.778,-1.124,-0.55,-0.341,-0.219
-14.432,-4.81,-1.128,-0.522,-0.333,-0.241
-14.45,-4.786,-1.119,-0.536,-0.324,-0.242
-14.375,-4.789,-1.096,-0.534,-0.321,-0.243
-14.35,-4.754,-1.116,-0.538,-0.32,-0.241
-14.321,-4.747,-1.097,-0.539,-0.316,-0.227
-14.28,-4.71,-1.091,-0.526,-0.299,-0.229
-14.246,-4.725,-1.097,-0.53,-0.332,-0.233
-14.105,-4.707,-1.066,-0.523,-0.31,-0.242
-14.167,-4.692,-1.101,-0.519,-0.305,-0.206
-14.119,-4.662,-1.091,-0.505,-0.304,-0.217
-14.079,-4.674,-1.053,-0.521,-0.304,-0.238
-13.985,-4.637,-1.072,-0.499,-0.308,-0.206
-13.949,-4.635,-1.06,-0.491,-0.3,-0.23
-13.9,-4.617,-1.062,-0.498,-0.315,-0.22
-13.834,-4.597,-1.041,-0.504,-0.293,-0.219
-13.848,-4.602,-1.03,-0.484,-0.279,-0.209
-13.756,-4.559,-1.062,-0.509,-0.311,-0.217
-13.725,-4.53,-1.031,-0.501,-0.301,-0.203
