R90,R250,R1000,R2000,R3000,R4000
-12.984,-4.132,-0.982,-0.457,-0.299,-0.261
-13.017,-4.13,-1,-0.461,-0.293,-0.238
-13.068,-4.143,-0.976,-0.477,-0.309,-0.253
-13.103,-4.194,-1.014,-0.461,-0.306,-0.261
-13.186,-4.203,-1.026,-0.494,-0.299,-0.252
-13.29,-4.248,-1.015,-0.466,-0.288,-0.263
-13.281,-4.264,-1.035,-0.471,-0.301,-0.256
-13.352,-4.278,-1.03,-0.485,-0.304,-0.264
-13.412,-4.329,-1.048,-0.497,-0.308,-0.243
-13.496,-4.342,-1.043,-0.488,-0.326,-0.25
-13.556,-4.37,-1.052,-0.488,-0.311,-0.255
-13.677,-4.373,-1.042,-0.516,-0.336,-0.243
-13.669,-4.356,-1.054,-0.501,-0.329,-0.248
-13.708,-4.429,-1.056,-0.488,-0.323,-0.267
-13.678,-4.447,-1.074,-0.507,-0.33,-0.259
-13.8,-4.498,-1.078,-0.497,-0.315,-0.263
-13.908,-4.534,-1.086,-0.508,-0.322,-0.248
-13.936,-4.468,-1.099,-0.508,-0.335,-0.266
-14.007,-4.543,-1.093,-0.503,-0.322,-0.254
-13.976,-4.558,-1.073,-0.536,-0.35,-0.262
-14.013,-4.572,-1.092,-0.511,-0.342,-0.27
-14.069,-4.597,-1.116,-0.51,-0.342,-0.269
-14.139,-4.598,-1.111,-0.514,-0.326,-0.256
-14.194,-4.619,-1.121,-0.505,-0.326,-0.266
-14.259,-4.634,-1.123,-0.533,-0.345,-0.277
-14.223,-4.616,-1.124,-0.514,-0.345,-0.253
-14.356,-4.66,-1.128,-0.522,-0.335,-0.259
-14.381,-4.672,-1.132,-0.503,-0.339,-0.261
-14.361,-4.69,-1.121,-0.534,-0.343,-0.28
-14.46,-4.737,-1.142,-0.54,-0.356,-0.275
-14.502,-4.74,-1.124,-0.543,-0.341,-0.275
-14.472,-4.731,-1.127,-0.539,-0.358,-0.276
-14.477,-4.765,-1.135,-0.521,-0.35,-0.261
-14.547,-4.74,-1.139,-0.541,-0.348,-0.271
-14.595,-4.759,-1.117,-0.53,-0.349,-0.276
-14.62,-4.79,-1.142,-0.538,-0.327,-0.249
-14.65,-4.819,-1.139,-0.536,-0.358,-0.258
